# LAMMPS data file written by OVITO Pro 3.7.10
432 atoms
2 atom types
0.0 16.51501 xlo xhi
0.0 16.51501 ylo yhi
0.0 16.51501 zlo zhi

Masses

1 2.014012  #1.00794  # H
2 14.0067  # N

Atoms  # atomic

255 1 11.49109 12.50174 16.51142
256 1 16.28122 2.12807 4.95317
257 1 0.40028 8.28275 14.67038
258 1 13.07106 9.21757 3.32717
259 1 14.53456 5.47728 3.07711
260 1 13.62856 6.83978 3.2605
261 1 14.15821 8.69056 4.49899
262 1 16.10349 7.47005 2.40907
263 1 10.19742 6.61988 4.97773
264 1 15.32197 6.07607 15.69866
265 1 10.23109 9.10381 8.14097
266 1 16.29566 8.00671 5.96576
267 1 9.42875 7.57385 3.14054
268 1 12.09768 7.00549 7.33188
269 1 14.68252 9.31772 3.13929
270 1 10.51525 9.10106 13.27569
271 1 13.67773 11.86813 7.80281
272 1 13.94338 11.04109 6.51227
273 1 11.58368 9.17105 14.56446
274 1 0.03749 9.02976 4.81161
275 1 9.22014 6.94052 13.52651
276 1 4.10308 2.25679 8.07349
277 1 9.83511 10.06385 10.52892
278 1 13.40961 7.01462 12.78803
279 1 9.43372 13.38435 10.40749
280 1 15.27013 2.09759 14.06066
281 1 12.14288 8.9437 13.01166
282 1 15.62628 9.16597 14.59452
283 1 10.95449 8.96446 0.81982
284 1 12.39149 8.23118 0.66219
285 1 0.36972 9.57544 15.53909
286 1 14.19654 6.94754 11.28296
287 1 12.0744 6.86865 15.18719
288 1 16.34933 4.90448 9.12657
289 1 12.35828 14.21545 3.24065
290 1 1.97034 12.74004 3.81527
291 1 11.92208 16.4935 15.32364
292 1 13.87348 5.77412 4.52688
293 1 13.28214 12.86335 14.03734
294 1 13.71358 2.90778 8.56823
295 1 10.80911 3.09119 5.62109
296 1 9.54626 3.76554 4.82406
297 1 14.51468 1.7394 9.30459
298 1 1.30448 11.41527 4.3734
299 1 8.70669 8.59355 2.15427
300 1 3.13827 10.63279 12.30099
301 1 14.80585 16.01144 12.57285
302 1 15.40328 15.3479 4.75766
303 1 10.5874 2.45532 8.71778
304 1 12.94116 12.36403 6.42555
305 1 12.80275 1.54697 9.09122
306 1 9.95465 12.5544 12.30769
307 1 11.40594 16.20088 10.81886
308 1 10.88809 15.58082 9.3873
309 1 10.95347 13.09577 13.46861
310 1 0.10772 15.90417 5.7373
311 1 10.82327 13.09297 9.56225
312 1 14.50323 10.99032 1.81737
313 1 13.99292 12.02478 3.89431
314 1 0.59831 12.93023 14.47341
315 1 11.20267 2.3119 0.90351
316 1 12.28464 9.83469 0.75659
317 1 11.35685 11.77278 12.58305
318 1 13.69401 12.31745 15.53423
319 1 14.0423 13.65802 1.74786
320 1 15.42596 14.28008 1.12238
321 1 12.95732 11.31302 14.4128
322 1 16.34561 12.62396 15.84923
323 1 10.08783 13.12248 16.00514
324 1 12.63832 13.46472 10.66541
325 2 1.74879 15.8991 16.41344
326 2 14.63544 1.56873 2.27899
327 2 4.40551 7.38562 4.72569
328 2 6.91315 0.11372 3.89748
329 2 4.72073 15.24245 2.90867
330 2 4.77045 0.30572 9.941
331 2 16.36765 1.41952 10.06228
332 2 5.51765 4.02091 3.53377
333 2 16.37468 12.56336 12.52226
334 2 1.92587 0.34757 12.40423
335 2 3.71291 1.88824 14.45062
336 2 7.80872 3.70957 1.22906
337 2 15.15364 5.4424 16.47295
338 2 2.25777 10.9109 0.6057
339 2 3.51974 3.96256 11.3104
340 2 7.56646 9.51897 4.80215
341 2 4.08142 3.09353 8.57865
342 2 3.65407 7.16229 9.0404
343 2 1.18754 6.54818 11.67584
344 2 8.50402 12.25867 6.87899
345 2 15.54779 4.95323 9.72722
346 2 6.11787 15.49526 12.69386
347 2 4.65076 11.02886 3.15688
348 2 1.92323 4.99652 15.43112
349 2 2.12905 10.66299 12.18003
350 2 4.36255 2.76929 0.72439
351 2 3.68063 13.46228 5.63464
352 2 6.51607 12.76751 0.91469
353 2 15.19776 10.57765 1.14191
354 2 3.0203 9.9461 6.44713
355 2 0.80487 9.58551 9.19877
356 2 4.7933 12.40137 8.59153
357 2 13.62446 13.22934 10.59425
358 2 6.72605 3.3739 10.66522
359 2 3.29647 13.5784 11.94466
360 2 0.92956 14.62713 9.78953
361 2 4.58572 15.31437 15.3874
362 2 3.23403 6.73978 1.57982
363 2 8.03651 0.94662 7.55556
364 2 13.99244 4.65165 6.59283
365 2 4.94602 0.43832 6.7462
366 2 9.26852 6.06645 8.18298
367 2 6.39709 6.69174 10.63042
368 2 10.70545 6.4505 11.49304
369 2 0.66887 12.77495 7.21085
370 2 3.75516 7.22719 13.67899
371 2 9.70381 1.52127 2.36809
372 2 6.45315 3.95152 13.95832
373 2 1.93325 4.19848 3.49992
374 2 6.58344 9.12571 1.45702
